layer,split,context_tokens,variant,cupti_median_ms,cupti_p95_ms,event_median_ms,event_p95_ms,cupti_reduction_vs_flashinfer_percent,event_reduction_vs_flashinfer_percent,cupti_reduction_vs_torch_percent,event_reduction_vs_torch_percent
45,test_normal,16384,flashinfer,4.4464844999999915,4.490138700000023,4.458640098571777,4.5036159515380865,,,,
45,test_normal,16384,fused_r13a_nsweep,3.9117820000000068,3.947986450000055,3.9224480390548706,3.9675567984580993,12.025286493183227,12.025910314866264,28.25752728135618,28.47573367746724
45,test_normal,16384,torch,5.452532999999938,5.476750099999868,5.484080076217651,5.507671999931336,,,,
45,test_hard,6144,flashinfer,1.683210500000023,1.6879400500000004,1.6967999935150146,1.700518387556076,,,,
45,test_hard,6144,fused_r13a_nsweep,1.3620455000000073,1.3700023499999965,1.3692160248756409,1.3778367519378663,19.08050122073331,19.305985967194964,32.51091396345605,33.19228708162136
45,test_hard,6144,torch,2.0181714999999967,2.0213261500000166,2.0494879484176636,2.0541231632232666,,,,
45,test_hard,8192,flashinfer,2.24604050000001,2.251494900000017,2.2610559463500977,2.2658414959907534,,,,
45,test_hard,8192,fused_r13a_nsweep,1.8907620000000023,1.900295699999982,1.8975679874420166,1.9060032427310944,15.817991705848858,16.076026756208325,30.137261904253673,30.651338642585994
45,test_hard,8192,torch,2.7063954999999114,2.71217915000003,2.7362719774246216,2.7425024628639223,,,,
45,test_hard,12288,flashinfer,3.3494660000000147,3.358837849999925,3.3665919303894043,3.372673499584198,,,,
45,test_hard,12288,fused_r13a_nsweep,2.8872069999999805,2.9030474499999936,2.897487998008728,2.9109471797943116,13.800976036181057,13.93408949110195,29.338854150260925,29.59305145824956
45,test_hard,12288,torch,4.085989499999938,4.09768195000002,4.115343809127808,4.123331046104431,,,,
45,test_hard,16384,flashinfer,4.4560055,4.465392749999969,4.463887929916382,4.47520022392273,,,,
45,test_hard,16384,fused_r13a_nsweep,3.9033000000000033,3.9168284,3.9111520051956177,3.926347243785858,12.403609017089332,12.382388030317735,28.48903147642266,28.614646665235586
45,test_hard,16384,torch,5.4583234999999695,5.469497400000177,5.478927850723267,5.492521500587463,,,,
60,test_normal,6144,flashinfer,1.679715000000011,1.6903292500000058,1.6912479996681213,1.7037503898143769,,,,
60,test_normal,6144,fused_r13a_nsweep,1.3587244999999601,1.373493799999979,1.3643360137939453,1.3817200362682343,19.109819225288142,19.329630304859307,32.64054037305804,33.49529389286895
60,test_normal,6144,torch,2.0171250000000107,2.0293381999999993,2.051487922668457,2.063291096687317,,,,
60,test_normal,8192,flashinfer,2.243109999999986,2.2502600499999783,2.2522079944610596,2.2602848529815676,,,,
60,test_normal,8192,fused_r13a_nsweep,1.8826765000000014,1.8876608499999827,1.8894239664077759,1.8955312252044678,16.068471898390484,16.107927373736892,30.39437824160421,30.97520807858537
60,test_normal,8192,torch,2.7047765000000363,2.7081461499999238,2.737312078475952,2.7416319012641908,,,,
